State,Occupation title,Occupation group,Total employment,Annual mean wage,Annual median wage,Top 10 percent wage
Idaho,Locksmiths and Safe Repairers,detailed,60,"32,420","28,540","51,260"
Idaho,"Helpers--Installation, Maintenance, and Repair Workers",detailed,730,"29,180","24,270","47,390"
Idaho,"Installation, Maintenance, and Repair Workers, All Other",detailed,280,"53,250","53,000","93,000"
Idaho,Production Occupations,major,"42,350","35,530","31,910","56,070"
Idaho,First-Line Supervisors of Production and Operating Workers,detailed,"3,070","56,530","51,890","91,750"
Idaho,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,110,"36,020","30,470","57,020"
Idaho,Structural Metal Fabricators and Fitters,detailed,350,"36,080","35,060","49,830"
Idaho,Fiberglass Laminators and Fabricators,detailed,110,"30,750","28,600","43,550"
Idaho,Team Assemblers,detailed,"6,000","29,170","26,170","45,440"
Idaho,"Assemblers and Fabricators, All Other",detailed,660,"25,770","25,590","31,750"
Idaho,Bakers,detailed,820,"26,290","24,570","38,660"
Idaho,Butchers and Meat Cutters,detailed,"1,010","32,750","33,390","46,510"
Idaho,Slaughterers and Meat Packers,detailed,100,"29,910","27,950","47,440"
Idaho,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,570,"28,530","25,790","44,380"
Idaho,Food Batchmakers,detailed,"1,250","30,050","28,780","42,110"
Idaho,Food Cooking Machine Operators and Tenders,detailed,690,"34,850","31,620","57,230"
Idaho,"Food Processing Workers, All Other",detailed,270,"33,030","30,660","51,380"
Idaho,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,590,"32,980","29,890","51,730"
Idaho,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,160,"40,040","32,320","66,860"
Idaho,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,80,"27,030","26,170","36,760"
Idaho,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,30,"38,240","38,620","49,760"
Idaho,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,50,"36,120","35,130","50,100"
Idaho,Machinists,detailed,"1,340","42,970","41,140","61,530"
Idaho,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,220,"30,440","29,860","43,390"
Idaho,Tool and Die Makers,detailed,40,"45,120","44,080","63,570"
Idaho,"Welders, Cutters, Solderers, and Brazers",detailed,"2,780","36,340","34,950","49,570"
Idaho,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,160,"32,900","31,060","45,620"
Idaho,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,110,"31,370","29,790","44,180"
Idaho,"Tool Grinders, Filers, and Sharpeners",detailed,100,"40,380","41,930","58,370"
Idaho,Prepress Technicians and Workers,detailed,120,"32,900","32,690","46,450"
Idaho,Printing Press Operators,detailed,560,"30,220","28,020","47,310"
Idaho,Print Binding and Finishing Workers,detailed,120,"29,500","30,530","40,660"
Idaho,Laundry and Dry-Cleaning Workers,detailed,800,"21,760","20,590","29,590"
Idaho,"Pressers, Textile, Garment, and Related Materials",detailed,120,"20,310","19,610","26,020"
Idaho,Sewing Machine Operators,detailed,560,"22,420","21,940","29,760"
Idaho,Shoe and Leather Workers and Repairers,detailed,80,"30,260","28,880","44,010"
Idaho,"Tailors, Dressmakers, and Custom Sewers",detailed,80,"26,180","25,770","41,830"
Idaho,Upholsterers,detailed,140,"29,850","28,400","46,140"
Idaho,Cabinetmakers and Bench Carpenters,detailed,960,"32,160","32,590","44,440"
Idaho,Furniture Finishers,detailed,120,"27,280","26,980","37,310"
Idaho,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"1,210","34,360","34,260","48,150"
Idaho,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,510,"32,070","31,410","47,160"
Idaho,Nuclear Power Reactor Operators,detailed,360,"86,320","84,020","107,100"
Idaho,Power Distributors and Dispatchers,detailed,110,"83,890","91,560","103,060"
Idaho,Power Plant Operators,detailed,230,"76,070","80,640","98,630"
Idaho,Stationary Engineers and Boiler Operators,detailed,150,"50,030","49,790","66,740"
Idaho,Water and Wastewater Treatment Plant and System Operators,detailed,920,"42,110","40,320","61,310"
Idaho,Chemical Plant and System Operators,detailed,260,"59,540","59,280","87,770"
Idaho,"Plant and System Operators, All Other",detailed,50,"56,770","56,130","78,590"
Idaho,Chemical Equipment Operators and Tenders,detailed,370,"45,410","47,850","62,000"
Idaho,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,520,"37,660","35,680","56,680"
Idaho,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,120,"47,520","44,240","75,700"
Idaho,"Grinding and Polishing Workers, Hand",detailed,120,"28,750","28,620","37,470"
Idaho,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,390,"33,840","32,470","48,690"
Idaho,"Cutters and Trimmers, Hand",detailed,30,"28,390","27,090","33,480"
Idaho,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,200,"32,910","30,650","48,810"
Idaho,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,80,"30,180","30,680","39,390"
Idaho,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,130,"40,840","40,900","52,410"
Idaho,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,"1,630","35,930","33,850","57,160"
Idaho,Jewelers and Precious Stone and Metal Workers,detailed,50,"40,420","40,360","50,700"
Idaho,Dental Laboratory Technicians,detailed,360,"45,870","41,650","77,340"
Idaho,Packaging and Filling Machine Operators and Tenders,detailed,"2,550","33,480","33,750","47,440"
Idaho,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,230,"31,680","30,430","43,620"
Idaho,"Painters, Transportation Equipment",detailed,280,"44,210","36,440","74,960"
Idaho,"Painting, Coating, and Decorating Workers",detailed,70,"26,500","23,940","38,800"
Idaho,Photographic Process Workers and Processing Machine Operators,detailed,120,"34,390","30,100","45,530"
Idaho,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,90,"36,230","34,090","55,080"
Idaho,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,130,"33,330","34,760","40,870"
Idaho,"Paper Goods Machine Setters, Operators, and Tenders",detailed,360,"42,950","43,050","63,240"
Idaho,Helpers--Production Workers,detailed,"1,620","28,250","27,020","42,080"
Idaho,"Production Workers, All Other",detailed,810,"33,130","30,510","55,290"
Idaho,Transportation and Material Moving Occupations,major,"41,820","34,530","31,060","56,170"
Idaho,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed,880,"44,470","40,390","65,330"
Idaho,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,detailed,750,"51,510","48,370","74,730"
Idaho,Commercial Pilots,detailed,140,"78,770","69,350","124,770"
Idaho,Air Traffic Controllers,detailed,90,"83,300","80,810","114,330"
Idaho,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,90,"24,230","23,150","32,700"
Idaho,"Bus Drivers, Transit and Intercity",detailed,700,"33,520","30,660","56,300"
Idaho,"Bus Drivers, School or Special Client",detailed,"2,670","26,440","27,050","33,600"
Idaho,Driver/Sales Workers,detailed,"2,560","32,620","27,620","55,500"
Idaho,Heavy and Tractor-Trailer Truck Drivers,detailed,"11,940","42,260","38,130","61,970"
Idaho,Light Truck or Delivery Services Drivers,detailed,"3,200","32,810","27,710","61,270"
Idaho,Taxi Drivers and Chauffeurs,detailed,630,"22,610","20,270","31,900"
Idaho,"Motor Vehicle Operators, All Other",detailed,80,"35,190","36,150","47,160"
Idaho,Parking Lot Attendants,detailed,300,"20,450","18,360","30,320"
Idaho,Automotive and Watercraft Service Attendants,detailed,350,"24,810","22,380","38,680"
Idaho,"Transportation Attendants, Except Flight Attendants",detailed,30,"29,330","29,170","35,100"
Idaho,"Transportation Workers, All Other",detailed,90,"32,900","32,720","46,560"
Idaho,Conveyor Operators and Tenders,detailed,220,"31,200","30,100","46,500"
Idaho,Crane and Tower Operators,detailed,130,"49,250","47,590","62,630"
Idaho,Dredge Operators,detailed,50,"53,750","55,860","75,860"
Idaho,Excavating and Loading Machine and Dragline Operators,detailed,180,"41,680","39,280","59,700"
Idaho,Industrial Truck and Tractor Operators,detailed,"2,560","33,030","33,450","43,260"
Idaho,Cleaners of Vehicles and Equipment,detailed,"2,150","22,810","19,860","34,760"
Idaho,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,"7,730","27,770","26,210","40,020"
Idaho,Machine Feeders and Offbearers,detailed,370,"35,640","35,780","48,390"
Idaho,"Packers and Packagers, Hand",detailed,"2,450","24,540","21,610","38,790"
Idaho,Refuse and Recyclable Material Collectors,detailed,430,"32,130","34,310","41,550"
Idaho,"Material Moving Workers, All Other",detailed,40,"24,480","23,890","33,410"
Illinois,All Occupations,total,"5,903,820","51,500","38,270","98,170"
Illinois,Management Occupations,major,"425,610","111,130","95,430","201,320"
Illinois,Legislators,detailed,"3,600","40,040","19,600","82,520"
Illinois,Advertising and Promotions Managers,detailed,"3,670","92,540","83,080","157,320"
Illinois,Marketing Managers,detailed,"14,030","122,030","111,900","197,970"
Illinois,Public Relations and Fundraising Managers,detailed,"3,830","112,720","99,890","184,570"
Illinois,Administrative Services Managers,detailed,"14,450","86,770","77,400","145,910"
Illinois,Computer and Information Systems Managers,detailed,"15,740","134,760","129,390","199,330"
Illinois,Industrial Production Managers,detailed,"7,630","96,970","90,340","151,710"
Illinois,Purchasing Managers,detailed,"4,210","109,980","101,600","168,580"
Illinois,"Transportation, Storage, and Distribution Managers",detailed,"8,360","91,550","82,960","151,490"
Illinois,Compensation and Benefits Managers,detailed,"1,000","120,380","109,100","191,420"
Illinois,Human Resources Managers,detailed,"9,020","108,450","98,280","171,590"
Illinois,Training and Development Managers,detailed,"2,210","94,990","92,560","155,630"
Illinois,"Farmers, Ranchers, and Other Agricultural Managers",detailed,230,"69,190","66,870","116,560"
Illinois,Construction Managers,detailed,"8,770","102,520","94,280","152,820"
Illinois,"Education Administrators, Preschool and Childcare Center/Program",detailed,"2,710","59,480","47,610","100,890"
Illinois,"Education Administrators, Elementary and Secondary School",detailed,"12,100","102,450","100,910","149,230"
Illinois,"Education Administrators, Postsecondary",detailed,"8,280","96,910","83,370","162,230"
Illinois,"Education Administrators, All Other",detailed,"1,960","87,800","79,890","148,900"
Illinois,Architectural and Engineering Managers,detailed,"9,430","131,550","125,330","191,480"
Illinois,Funeral Service Managers,detailed,330,"68,050","57,110","125,620"
Illinois,Gaming Managers,detailed,120,"71,760","62,510","111,420"
Illinois,Lodging Managers,detailed,"1,280","48,470","32,830","93,050"
Illinois,Medical and Health Services Managers,detailed,"13,130","101,650","93,440","154,170"
Illinois,Natural Sciences Managers,detailed,"1,780","124,640","115,890","192,370"
Illinois,Postmasters and Mail Superintendents,detailed,550,"71,830","70,900","89,210"
Illinois,"Property, Real Estate, and Community Association Managers",detailed,"8,530","64,560","57,070","117,280"
Illinois,Social and Community Service Managers,detailed,"3,680","64,350","58,660","103,250"
Illinois,Emergency Management Directors,detailed,380,"72,500","69,090","119,640"
Illinois,Business and Financial Operations Occupations,major,"323,350","73,730","64,880","118,360"
Illinois,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,170,"66,950","47,180","119,740"
Illinois,"Buyers and Purchasing Agents, Farm Products",detailed,470,"64,860","60,530","98,850"
Illinois,"Wholesale and Retail Buyers, Except Farm Products",detailed,"4,010","64,700","58,870","100,450"
Illinois,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"10,150","66,840","64,400","101,190"
Illinois,"Claims Adjusters, Examiners, and Investigators",detailed,"11,180","66,100","64,980","98,530"
Illinois,"Insurance Appraisers, Auto Damage",detailed,390,"69,360","67,950","96,970"
Illinois,Compliance Officers,detailed,"8,200","71,350","69,310","104,180"
Illinois,Cost Estimators,detailed,"6,750","69,560","67,610","104,430"
Illinois,Human Resources Specialists,detailed,"21,030","60,810","55,590","94,920"
Illinois,Labor Relations Specialists,detailed,"4,860","60,800","57,970","137,370"
Illinois,Logisticians,detailed,"6,450","68,730","66,280","101,300"
Illinois,Management Analysts,detailed,"34,280","89,770","78,950","149,490"
Illinois,"Meeting, Convention, and Event Planners",detailed,"4,220","52,180","48,750","83,660"
Illinois,Fundraisers,detailed,"1,890","58,000","56,350","84,730"
Illinois,"Compensation, Benefits, and Job Analysis Specialists",detailed,"2,650","67,570","64,010","101,230"
Illinois,Training and Development Specialists,detailed,"9,730","59,100","56,190","96,660"
Illinois,Market Research Analysts and Marketing Specialists,detailed,"22,050","62,920","57,240","101,800"
Illinois,"Business Operations Specialists, All Other",detailed,"54,880","67,260","61,710","106,340"
Illinois,Accountants and Auditors,detailed,"51,350","76,950","67,070","120,660"
Illinois,Appraisers and Assessors of Real Estate,detailed,"2,090","57,450","53,340","100,060"
Illinois,Budget Analysts,detailed,"1,400","75,460","73,430","104,280"
Illinois,Credit Analysts,detailed,"2,930","68,000","62,510","105,770"
Illinois,Financial Analysts,detailed,"13,840","96,350","78,300","160,360"
Illinois,Insurance Underwriters,detailed,"5,390","75,810","68,820","125,610"
Illinois,Financial Examiners,detailed,"2,030","100,300","95,690","157,680"
Illinois,Credit Counselors,detailed,"1,460","48,380","44,960","66,750"
Illinois,Loan Officers,detailed,"13,380","74,180","61,850","127,120"
Illinois,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,490","72,680","68,320","108,080"
Illinois,"Financial Specialists, All Other",detailed,"6,850","89,210","78,230","147,370"
Illinois,Computer and Mathematical Occupations,major,"177,360","85,340","82,320","129,340"
Illinois,Computer and Information Research Scientists,detailed,900,"103,350","99,020","149,660"
Illinois,Computer Systems Analysts,detailed,"29,390","89,630","88,230","128,490"
Illinois,Information Security Analysts,detailed,"4,340","93,800","90,990","140,100"
Illinois,Computer Programmers,detailed,"13,350","83,350","79,120","129,760"
Illinois,"Software Developers, Applications",detailed,"26,180","97,930","96,300","137,070"
Illinois,"Software Developers, Systems Software",detailed,"12,570","104,310","102,050","148,140"
Illinois,Web Developers,detailed,"5,230","74,960","70,500","117,860"
Illinois,Database Administrators,detailed,"4,450","88,670","86,890","129,060"
Illinois,Network and Computer Systems Administrators,detailed,"14,170","85,300","82,300","124,940"
Illinois,Computer Network Architects,detailed,"5,480","109,110","111,360","157,260"
Illinois,Computer User Support Specialists,detailed,"25,010","54,710","51,300","82,180"
Illinois,Computer Network Support Specialists,detailed,"9,810","70,300","67,860","102,580"
Illinois,"Computer Occupations, All Other",detailed,"15,080","89,530","86,800","133,640"
Illinois,Actuaries,detailed,"1,590","103,490","96,990","166,800"
Illinois,Mathematicians,detailed,140,"103,010","101,700","156,870"
Illinois,Operations Research Analysts,detailed,"8,360","87,020","83,460","131,610"
Illinois,Statisticians,detailed,"1,270","81,430","76,430","122,760"
Illinois,Architecture and Engineering Occupations,major,"90,510","80,260","76,590","123,300"
Illinois,"Architects, Except Landscape and Naval",detailed,"4,790","82,010","75,930","123,990"
Illinois,Landscape Architects,detailed,400,"63,940","60,750","98,020"
Illinois,Cartographers and Photogrammetrists,detailed,270,"66,920","65,270","99,830"
Illinois,Surveyors,detailed,"1,070","64,500","61,600","95,790"
Illinois,Aerospace Engineers,detailed,370,"105,020","101,180","148,730"
Illinois,Agricultural Engineers,detailed,40,"81,500","79,540","120,420"
Illinois,Biomedical Engineers,detailed,350,"75,190","72,230","107,720"
Illinois,Chemical Engineers,detailed,720,"94,950","87,210","147,410"
Illinois,Civil Engineers,detailed,"10,710","90,030","86,810","128,510"
Illinois,Computer Hardware Engineers,detailed,"1,430","95,270","92,580","143,740"
Illinois,Electrical Engineers,detailed,"5,500","91,080","90,190","128,470"
Illinois,"Electronics Engineers, Except Computer",detailed,"3,120","100,070","97,580","137,060"
Illinois,Environmental Engineers,detailed,"1,590","81,570","83,360","120,430"
Illinois,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,660,"82,310","81,800","123,550"
Illinois,Industrial Engineers,detailed,"13,270","81,470","79,440","119,000"
Illinois,Materials Engineers,detailed,740,"91,520","91,850","130,260"
Illinois,Mechanical Engineers,detailed,"14,500","92,290","87,900","135,800"
Illinois,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,250,"115,820","117,860","163,020"
Illinois,Nuclear Engineers,detailed,620,"118,980","116,850","164,740"
Illinois,"Engineers, All Other",detailed,"4,830","87,800","85,260","136,340"
Illinois,Architectural and Civil Drafters,detailed,"2,630","55,940","51,350","88,020"
Illinois,Electrical and Electronics Drafters,detailed,810,"67,930","66,700","99,320"
Illinois,Mechanical Drafters,detailed,"3,640","57,310","54,260","83,300"
Illinois,"Drafters, All Other",detailed,260,"50,180","47,520","71,460"
Illinois,Civil Engineering Technicians,detailed,"1,930","56,770","57,050","81,630"
Illinois,Electrical and Electronics Engineering Technicians,detailed,"3,810","65,930","66,190","93,520"
Illinois,Electro-Mechanical Technicians,detailed,400,"53,090","49,460","79,790"
Illinois,Environmental Engineering Technicians,detailed,420,"55,400","51,460","88,400"
Illinois,Industrial Engineering Technicians,detailed,"1,900","57,350","54,250","90,060"
Illinois,Mechanical Engineering Technicians,detailed,"2,630","57,960","55,170","83,400"
Illinois,"Engineering Technicians, Except Drafters, All Other",detailed,"4,650","62,700","61,890","93,220"
Illinois,Surveying and Mapping Technicians,detailed,"1,270","54,030","50,250","81,690"
Illinois,"Life, Physical, and Social Science Occupations",major,"34,820","73,060","64,260","120,430"
Illinois,Animal Scientists,detailed,50,"61,140","65,040","82,490"
Illinois,Food Scientists and Technologists,detailed,460,"74,610","69,980","117,480"
Illinois,Soil and Plant Scientists,detailed,470,"59,000","58,920","84,540"
Illinois,Biochemists and Biophysicists,detailed,"1,260","99,650","90,500","157,640"
Illinois,Microbiologists,detailed,750,"58,110","49,230","95,020"
Illinois,Zoologists and Wildlife Biologists,detailed,200,"63,630","63,160","83,480"
Illinois,"Biological Scientists, All Other",detailed,580,"88,970","85,220","127,340"
Illinois,Conservation Scientists,detailed,540,"68,080","69,840","102,440"
Illinois,Foresters,detailed,120,"66,440","61,990","94,590"
Illinois,Epidemiologists,detailed,200,"77,800","73,390","104,570"
Illinois,"Medical Scientists, Except Epidemiologists",detailed,"2,820","73,240","61,860","121,520"
Illinois,"Life Scientists, All Other",detailed,370,"80,150","82,930","114,960"
Illinois,Physicists,detailed,690,"125,000","116,700","191,640"
Illinois,Chemists,detailed,"3,380","81,500","72,860","132,550"
Illinois,Materials Scientists,detailed,290,"98,510","98,460","151,340"
Illinois,"Environmental Scientists and Specialists, Including Health",detailed,"2,740","83,920","81,070","130,330"
Illinois,"Geoscientists, Except Hydrologists and Geographers",detailed,290,"80,580","85,860","120,090"
Illinois,Hydrologists,detailed,80,"82,120","85,210","105,620"
Illinois,"Physical Scientists, All Other",detailed,590,"90,030","85,680","127,750"
Illinois,Economists,detailed,360,"112,550","101,270","187,590"
Illinois,Survey Researchers,detailed,770,"55,730","47,440","94,530"
Illinois,"Clinical, Counseling, and School Psychologists",detailed,"3,930","77,700","71,540","112,300"
Illinois,Sociologists,detailed,80,"68,870","65,470","80,860"
Illinois,Urban and Regional Planners,detailed,690,"80,380","77,470","119,120"
Illinois,Anthropologists and Archeologists,detailed,70,"63,200","58,760","97,830"
Illinois,Historians,detailed,70,"68,450","70,460","106,560"
Illinois,Political Scientists,detailed,40,"83,170","85,540","120,390"
Illinois,"Social Scientists and Related Workers, All Other",detailed,"1,070","70,870","71,510","108,070"
Illinois,Agricultural and Food Science Technicians,detailed,710,"41,300","38,270","62,510"
Illinois,Biological Technicians,detailed,"1,150","47,600","43,380","71,710"
Illinois,Chemical Technicians,detailed,"2,120","50,500","47,790","75,210"
Illinois,Geological and Petroleum Technicians,detailed,90,"60,440","61,710","80,250"
Illinois,Nuclear Technicians,detailed,680,"89,660","92,430","122,780"
Illinois,Social Science Research Assistants,detailed,830,"42,700","37,800","72,580"
Illinois,"Environmental Science and Protection Technicians, Including Health",detailed,810,"40,220","33,690","68,330"
Illinois,Forest and Conservation Technicians,detailed,490,"48,050","48,220","59,780"
Illinois,"Life, Physical, and Social Science Technicians, All Other",detailed,"3,400","53,710","46,860","82,840"
Illinois,Community and Social Service Occupations,major,"76,500","48,780","42,590","82,570"
Illinois,Substance Abuse and Behavioral Disorder Counselors,detailed,"3,340","37,360","35,390","56,960"
Illinois,"Educational, Guidance, School, and Vocational Counselors",detailed,"10,340","57,300","50,820","98,120"
Illinois,Marriage and Family Therapists,detailed,410,"52,910","49,460","78,350"
Illinois,Mental Health Counselors,detailed,"5,150","43,380","38,500","68,280"
Illinois,Rehabilitation Counselors,detailed,"2,970","37,600","31,150","71,050"
Illinois,"Counselors, All Other",detailed,"1,780","35,220","33,660","51,300"
Illinois,"Child, Family, and School Social Workers",detailed,"12,150","58,790","53,950","100,400"
Illinois,Healthcare Social Workers,detailed,"5,050","55,070","54,320","79,950"
Illinois,Mental Health and Substance Abuse Social Workers,detailed,"3,360","53,240","40,520","80,920"
Illinois,"Social Workers, All Other",detailed,"5,210","65,240","68,980","88,830"
Illinois,Health Educators,detailed,"1,770","58,530","55,400","94,170"
Illinois,Probation Officers and Correctional Treatment Specialists,detailed,"2,190","67,190","67,800","98,110"
Illinois,Social and Human Service Assistants,detailed,"12,780","33,300","30,540","50,360"
Illinois,Community Health Workers,detailed,"2,550","36,980","33,270","60,590"
Illinois,"Community and Social Service Specialists, All Other",detailed,"3,530","39,610","36,980","63,590"
Illinois,Clergy,detailed,"2,090","48,030","43,540","78,180"
Illinois,"Directors, Religious Activities and Education",detailed,"1,210","43,820","38,570","69,550"
Illinois,"Religious Workers, All Other",detailed,620,"31,850","22,240","58,060"
Illinois,Legal Occupations,major,"44,870","105,180","81,120","203,390"
Illinois,Judicial Law Clerks,detailed,160,"50,800","45,420","93,710"
Illinois,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,540,"95,380","92,630","165,200"
Illinois,"Arbitrators, Mediators, and Conciliators",detailed,220,"78,440","75,450","117,140"
Illinois,Paralegals and Legal Assistants,detailed,"10,390","55,210","52,510","81,080"
Illinois,Court Reporters,detailed,840,"60,310","56,720","93,110"
Illinois,"Title Examiners, Abstractors, and Searchers",detailed,"1,620","39,780","37,370","57,540"
Illinois,"Legal Support Workers, All Other",detailed,810,"58,030","52,690","102,440"
Illinois,"Education, Training, and Library Occupations",major,"373,290","57,480","49,630","100,220"
Illinois,"Computer Science Teachers, Postsecondary",detailed,"1,080","92,210","89,690","148,410"
Illinois,"Mathematical Science Teachers, Postsecondary",detailed,"1,920","83,170","69,570","132,000"
Illinois,"Architecture Teachers, Postsecondary",detailed,70,"66,830","68,220","101,730"
Illinois,"Engineering Teachers, Postsecondary",detailed,570,"114,650","110,310","190,290"
Illinois,"Agricultural Sciences Teachers, Postsecondary",detailed,60,"78,310","78,220","124,000"
Illinois,"Biological Science Teachers, Postsecondary",detailed,"2,170","85,080","75,180","134,670"
Illinois,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,160,"87,480","60,280","192,720"
Illinois,"Chemistry Teachers, Postsecondary",detailed,850,"99,560","81,840","162,850"
Illinois,"Environmental Science Teachers, Postsecondary",detailed,60,"83,970","67,490","129,490"
Illinois,"Physics Teachers, Postsecondary",detailed,450,"85,030","79,030","130,450"
Illinois,"Anthropology and Archeology Teachers, Postsecondary",detailed,170,"91,950","76,380","158,110"
Illinois,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,230,"69,620","64,230","105,900"
Illinois,"Geography Teachers, Postsecondary",detailed,120,"80,550","80,620","123,380"
Illinois,"Political Science Teachers, Postsecondary",detailed,450,"87,390","78,390","131,650"
Illinois,"Psychology Teachers, Postsecondary",detailed,"1,000","95,780","82,350","162,450"
Illinois,"Sociology Teachers, Postsecondary",detailed,370,"91,790","77,250","151,240"
Illinois,"Social Sciences Teachers, Postsecondary, All Other",detailed,760,"59,110","46,820","106,320"
Illinois,"Nursing Instructors and Teachers, Postsecondary",detailed,"1,510","74,930","65,850","118,080"
Illinois,"Education Teachers, Postsecondary",detailed,"2,350","69,090","59,770","103,930"
Illinois,"Library Science Teachers, Postsecondary",detailed,460,"80,780","78,310","121,390"
Illinois,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,290,"84,590","69,640","125,350"
Illinois,"Social Work Teachers, Postsecondary",detailed,460,"55,720","48,500","88,480"
Illinois,"Art, Drama, and Music Teachers, Postsecondary",detailed,"2,450","84,190","76,610","132,280"
Illinois,"Communications Teachers, Postsecondary",detailed,"1,270","87,880","77,630","132,800"
Illinois,"English Language and Literature Teachers, Postsecondary",detailed,"2,440","87,480","70,100","131,850"
Illinois,"Foreign Language and Literature Teachers, Postsecondary",detailed,700,"76,470","67,330","111,480"
Illinois,"History Teachers, Postsecondary",detailed,820,"89,330","81,020","132,820"
Illinois,"Philosophy and Religion Teachers, Postsecondary",detailed,560,"76,540","71,550","121,330"
Illinois,Graduate Teaching Assistants,detailed,"6,770","42,890","44,810","62,210"
Illinois,"Home Economics Teachers, Postsecondary",detailed,60,"78,470","77,960","117,600"
Illinois,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,360,"60,510","47,540","111,070"
Illinois,"Vocational Education Teachers, Postsecondary",detailed,"4,860","55,120","50,680","87,580"
Illinois,"Preschool Teachers, Except Special Education",detailed,"19,230","32,950","29,410","51,710"
Illinois,"Kindergarten Teachers, Except Special Education",detailed,"4,030","58,180","53,820","90,220"
Illinois,"Elementary School Teachers, Except Special Education",detailed,"60,960","60,760","56,610","95,770"
Illinois,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"31,080","69,700","66,020","101,070"
Illinois,"Career/Technical Education Teachers, Middle School",detailed,160,"62,500","63,280","95,720"
Illinois,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"44,360","70,130","66,470","108,960"
Illinois,"Career/Technical Education Teachers, Secondary School",detailed,"1,320","66,590","65,470","100,240"
Illinois,"Special Education Teachers, Preschool",detailed,"1,270","63,040","59,740","99,250"
Illinois,"Special Education Teachers, Kindergarten and Elementary School",detailed,"6,370","62,010","57,070","97,190"
Illinois,"Special Education Teachers, Middle School",detailed,"5,080","68,040","64,050","99,430"
Illinois,"Special Education Teachers, Secondary School",detailed,"6,910","67,070","63,140","102,910"
Illinois,"Special Education Teachers, All Other",detailed,"1,150","64,410","61,390","97,580"
Illinois,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"2,440","65,700","62,510","85,340"
Illinois,Self-Enrichment Education Teachers,detailed,"10,040","36,400","33,130","59,800"
Illinois,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"16,370","54,440","44,480","104,980"
Illinois,Substitute Teachers,detailed,"19,340","37,620","29,800","58,740"
Illinois,Archivists,detailed,260,"58,160","57,350","75,680"
Illinois,Curators,detailed,370,"65,220","62,270","100,460"
Illinois,Museum Technicians and Conservators,detailed,760,"40,620","37,920","64,000"
Illinois,Librarians,detailed,"6,070","55,310","51,670","88,130"
Illinois,Library Technicians,detailed,"6,480","34,800","32,960","51,610"
Illinois,Audio-Visual and Multimedia Collections Specialists,detailed,470,"50,030","49,500","73,270"
Illinois,Farm and Home Management Advisors,detailed,240,"51,900","46,270","78,950"
Illinois,Instructional Coordinators,detailed,"4,290","62,700","59,220","100,750"
Illinois,Teacher Assistants,detailed,"58,250","27,510","25,780","38,970"
Illinois,"Education, Training, and Library Workers, All Other",detailed,"2,620","42,230","37,380","73,360"
Illinois,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"69,260","52,410","44,880","92,600"
Illinois,Art Directors,detailed,"1,730","87,920","77,390","148,490"
