"","X.1","X","ST","STATE","OCC_TITLE","OCC_GROUP","A_MEAN","lon","lat"
"11275",11276,11276,"IA","Iowa","Nonfarm Animal Caretakers","detailed",22720,-93.097702,41.8780025
"11276",11277,11277,"IA","Iowa","Gaming Dealers","detailed",18360,-93.097702,41.8780025
"11277",11278,11278,"IA","Iowa","Gaming Service Workers, All Other","detailed",21570,-93.097702,41.8780025
"11278",11279,11279,"IA","Iowa","Motion Picture Projectionists","detailed",18500,-93.097702,41.8780025
"11279",11280,11280,"IA","Iowa","Ushers, Lobby Attendants, and Ticket Takers","detailed",19540,-93.097702,41.8780025
"11280",11281,11281,"IA","Iowa","Amusement and Recreation Attendants","detailed",19030,-93.097702,41.8780025
"11281",11282,11282,"IA","Iowa","Locker Room, Coatroom, and Dressing Room Attendants","detailed",18520,-93.097702,41.8780025
"11282",11283,11283,"IA","Iowa","Entertainment Attendants and Related Workers, All Other","detailed",24050,-93.097702,41.8780025
"11283",11284,11284,"IA","Iowa","Funeral Attendants","detailed",24750,-93.097702,41.8780025
"11284",11285,11285,"IA","Iowa","Morticians, Undertakers, and Funeral Directors","detailed",61660,-93.097702,41.8780025
"11285",11286,11286,"IA","Iowa","Barbers","detailed",26730,-93.097702,41.8780025
"11286",11287,11287,"IA","Iowa","Hairdressers, Hairstylists, and Cosmetologists","detailed",27070,-93.097702,41.8780025
"11287",11288,11288,"IA","Iowa","Manicurists and Pedicurists","detailed",31040,-93.097702,41.8780025
"11288",11289,11289,"IA","Iowa","Skincare Specialists","detailed",28120,-93.097702,41.8780025
"11289",11290,11290,"IA","Iowa","Baggage Porters and Bellhops","detailed",26160,-93.097702,41.8780025
"11290",11291,11291,"IA","Iowa","Concierges","detailed",23790,-93.097702,41.8780025
"11291",11292,11292,"IA","Iowa","Tour Guides and Escorts","detailed",23190,-93.097702,41.8780025
"11292",11293,11293,"IA","Iowa","Childcare Workers","detailed",20410,-93.097702,41.8780025
"11293",11294,11294,"IA","Iowa","Personal Care Aides","detailed",23700,-93.097702,41.8780025
"11294",11295,11295,"IA","Iowa","Fitness Trainers and Aerobics Instructors","detailed",30520,-93.097702,41.8780025
"11295",11296,11296,"IA","Iowa","Recreation Workers","detailed",25690,-93.097702,41.8780025
"11296",11297,11297,"IA","Iowa","Residential Advisors","detailed",26530,-93.097702,41.8780025
"11297",11298,11298,"IA","Iowa","Personal Care and Service Workers, All Other","detailed",22390,-93.097702,41.8780025
"11298",11299,11299,"IA","Iowa","Sales and Related Occupations","major",35150,-93.097702,41.8780025
"11299",11300,11300,"IA","Iowa","First-Line Supervisors of Retail Sales Workers","detailed",39010,-93.097702,41.8780025
"11300",11301,11301,"IA","Iowa","First-Line Supervisors of Non-Retail Sales Workers","detailed",65000,-93.097702,41.8780025
"11301",11302,11302,"IA","Iowa","Cashiers","detailed",20130,-93.097702,41.8780025
"11302",11303,11303,"IA","Iowa","Gaming Change Persons and Booth Cashiers","detailed",25880,-93.097702,41.8780025
"11303",11304,11304,"IA","Iowa","Counter and Rental Clerks","detailed",22830,-93.097702,41.8780025
"11304",11305,11305,"IA","Iowa","Parts Salespersons","detailed",34550,-93.097702,41.8780025
"11305",11306,11306,"IA","Iowa","Retail Salespersons","detailed",26660,-93.097702,41.8780025
"11306",11307,11307,"IA","Iowa","Advertising Sales Agents","detailed",48880,-93.097702,41.8780025
"11307",11308,11308,"IA","Iowa","Insurance Sales Agents","detailed",54050,-93.097702,41.8780025
"11308",11309,11309,"IA","Iowa","Securities, Commodities, and Financial Services Sales Agents","detailed",81460,-93.097702,41.8780025
"11309",11310,11310,"IA","Iowa","Travel Agents","detailed",37080,-93.097702,41.8780025
"11310",11311,11311,"IA","Iowa","Sales Representatives, Services, All Other","detailed",57950,-93.097702,41.8780025
"11311",11312,11312,"IA","Iowa","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detailed",77520,-93.097702,41.8780025
"11312",11313,11313,"IA","Iowa","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","detailed",65240,-93.097702,41.8780025
"11313",11314,11314,"IA","Iowa","Demonstrators and Product Promoters","detailed",23490,-93.097702,41.8780025
"11314",11315,11315,"IA","Iowa","Real Estate Brokers","detailed",48510,-93.097702,41.8780025
"11315",11316,11316,"IA","Iowa","Real Estate Sales Agents","detailed",46520,-93.097702,41.8780025
"11316",11317,11317,"IA","Iowa","Sales Engineers","detailed",101480,-93.097702,41.8780025
"11317",11318,11318,"IA","Iowa","Telemarketers","detailed",24340,-93.097702,41.8780025
"11318",11319,11319,"IA","Iowa","Sales and Related Workers, All Other","detailed",44270,-93.097702,41.8780025
"11319",11320,11320,"IA","Iowa","Office and Administrative Support Occupations","major",35010,-93.097702,41.8780025
"11320",11321,11321,"IA","Iowa","First-Line Supervisors of Office and Administrative Support Workers","detailed",52960,-93.097702,41.8780025
"11321",11322,11322,"IA","Iowa","Switchboard Operators, Including Answering Service","detailed",29360,-93.097702,41.8780025
"11322",11323,11323,"IA","Iowa","Telephone Operators","detailed",28000,-93.097702,41.8780025
"11323",11324,11324,"IA","Iowa","Bill and Account Collectors","detailed",32880,-93.097702,41.8780025
"11324",11325,11325,"IA","Iowa","Billing and Posting Clerks","detailed",36120,-93.097702,41.8780025
"11325",11326,11326,"IA","Iowa","Bookkeeping, Accounting, and Auditing Clerks","detailed",35260,-93.097702,41.8780025
"11326",11327,11327,"IA","Iowa","Gaming Cage Workers","detailed",27820,-93.097702,41.8780025
"11327",11328,11328,"IA","Iowa","Payroll and Timekeeping Clerks","detailed",41470,-93.097702,41.8780025
"11328",11329,11329,"IA","Iowa","Procurement Clerks","detailed",39420,-93.097702,41.8780025
"11329",11330,11330,"IA","Iowa","Tellers","detailed",27100,-93.097702,41.8780025
"11330",11331,11331,"IA","Iowa","Financial Clerks, All Other","detailed",40940,-93.097702,41.8780025
"11331",11332,11332,"IA","Iowa","Brokerage Clerks","detailed",42750,-93.097702,41.8780025
"11332",11333,11333,"IA","Iowa","Correspondence Clerks","detailed",29920,-93.097702,41.8780025
"11333",11334,11334,"IA","Iowa","Court, Municipal, and License Clerks","detailed",40260,-93.097702,41.8780025
"11334",11335,11335,"IA","Iowa","Credit Authorizers, Checkers, and Clerks","detailed",34800,-93.097702,41.8780025
"11335",11336,11336,"IA","Iowa","Customer Service Representatives","detailed",34030,-93.097702,41.8780025
"11336",11337,11337,"IA","Iowa","Eligibility Interviewers, Government Programs","detailed",54320,-93.097702,41.8780025
"11337",11338,11338,"IA","Iowa","File Clerks","detailed",31570,-93.097702,41.8780025
"11338",11339,11339,"IA","Iowa","Hotel, Motel, and Resort Desk Clerks","detailed",20930,-93.097702,41.8780025
"11339",11340,11340,"IA","Iowa","Interviewers, Except Eligibility and Loan","detailed",29310,-93.097702,41.8780025
"11340",11341,11341,"IA","Iowa","Library Assistants, Clerical","detailed",24730,-93.097702,41.8780025
"11341",11342,11342,"IA","Iowa","Loan Interviewers and Clerks","detailed",37160,-93.097702,41.8780025
"11342",11343,11343,"IA","Iowa","New Accounts Clerks","detailed",37370,-93.097702,41.8780025
"11343",11344,11344,"IA","Iowa","Order Clerks","detailed",35560,-93.097702,41.8780025
"11344",11345,11345,"IA","Iowa","Human Resources Assistants, Except Payroll and Timekeeping","detailed",38210,-93.097702,41.8780025
"11345",11346,11346,"IA","Iowa","Receptionists and Information Clerks","detailed",28470,-93.097702,41.8780025
"11346",11347,11347,"IA","Iowa","Reservation and Transportation Ticket Agents and Travel Clerks","detailed",33900,-93.097702,41.8780025
"11347",11348,11348,"IA","Iowa","Information and Record Clerks, All Other","detailed",34330,-93.097702,41.8780025
"11348",11349,11349,"IA","Iowa","Cargo and Freight Agents","detailed",42040,-93.097702,41.8780025
"11349",11350,11350,"IA","Iowa","Couriers and Messengers","detailed",26500,-93.097702,41.8780025
"11350",11351,11351,"IA","Iowa","Police, Fire, and Ambulance Dispatchers","detailed",43000,-93.097702,41.8780025
"11351",11352,11352,"IA","Iowa","Dispatchers, Except Police, Fire, and Ambulance","detailed",44380,-93.097702,41.8780025
"11352",11353,11353,"IA","Iowa","Meter Readers, Utilities","detailed",39420,-93.097702,41.8780025
"11353",11354,11354,"IA","Iowa","Postal Service Clerks","detailed",42370,-93.097702,41.8780025
"11354",11355,11355,"IA","Iowa","Postal Service Mail Carriers","detailed",49930,-93.097702,41.8780025
"11355",11356,11356,"IA","Iowa","Postal Service Mail Sorters, Processors, and Processing Machine Operators","detailed",48380,-93.097702,41.8780025
"11356",11357,11357,"IA","Iowa","Production, Planning, and Expediting Clerks","detailed",44630,-93.097702,41.8780025
"11357",11358,11358,"IA","Iowa","Shipping, Receiving, and Traffic Clerks","detailed",33520,-93.097702,41.8780025
"11358",11359,11359,"IA","Iowa","Stock Clerks and Order Fillers","detailed",27060,-93.097702,41.8780025
"11359",11360,11360,"IA","Iowa","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","detailed",29740,-93.097702,41.8780025
"11360",11361,11361,"IA","Iowa","Executive Secretaries and Executive Administrative Assistants","detailed",46440,-93.097702,41.8780025
"11361",11362,11362,"IA","Iowa","Legal Secretaries","detailed",37280,-93.097702,41.8780025
"11362",11363,11363,"IA","Iowa","Medical Secretaries","detailed",34900,-93.097702,41.8780025
"11363",11364,11364,"IA","Iowa","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","detailed",32830,-93.097702,41.8780025
"11364",11365,11365,"IA","Iowa","Computer Operators","detailed",41960,-93.097702,41.8780025
"11365",11366,11366,"IA","Iowa","Data Entry Keyers","detailed",30430,-93.097702,41.8780025
"11366",11367,11367,"IA","Iowa","Word Processors and Typists","detailed",37720,-93.097702,41.8780025
"11367",11368,11368,"IA","Iowa","Desktop Publishers","detailed",45060,-93.097702,41.8780025
"11368",11369,11369,"IA","Iowa","Insurance Claims and Policy Processing Clerks","detailed",40290,-93.097702,41.8780025
"11369",11370,11370,"IA","Iowa","Mail Clerks and Mail Machine Operators, Except Postal Service","detailed",27470,-93.097702,41.8780025
"11370",11371,11371,"IA","Iowa","Office Clerks, General","detailed",33420,-93.097702,41.8780025
"11371",11372,11372,"IA","Iowa","Office Machine Operators, Except Computer","detailed",31570,-93.097702,41.8780025
"11372",11373,11373,"IA","Iowa","Proofreaders and Copy Markers","detailed",33990,-93.097702,41.8780025
"11373",11374,11374,"IA","Iowa","Statistical Assistants","detailed",51240,-93.097702,41.8780025
"11374",11375,11375,"IA","Iowa","Office and Administrative Support Workers, All Other","detailed",34350,-93.097702,41.8780025
"11375",11376,11376,"IA","Iowa","Farming, Fishing, and Forestry Occupations","major",33870,-93.097702,41.8780025
"11376",11377,11377,"IA","Iowa","First-Line Supervisors of Farming, Fishing, and Forestry Workers","detailed",57230,-93.097702,41.8780025
"11377",11378,11378,"IA","Iowa","Agricultural Inspectors","detailed",49050,-93.097702,41.8780025
"11378",11379,11379,"IA","Iowa","Animal Breeders","detailed",32270,-93.097702,41.8780025
"11379",11380,11380,"IA","Iowa","Graders and Sorters, Agricultural Products","detailed",28210,-93.097702,41.8780025
"11380",11381,11381,"IA","Iowa","Agricultural Equipment Operators","detailed",35490,-93.097702,41.8780025
"11381",11382,11382,"IA","Iowa","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","detailed",27280,-93.097702,41.8780025
"11382",11383,11383,"IA","Iowa","Farmworkers, Farm, Ranch, and Aquacultural Animals","detailed",28780,-93.097702,41.8780025
"11383",11384,11384,"IA","Iowa","Agricultural Workers, All Other","detailed",30580,-93.097702,41.8780025
"11384",11385,11385,"IA","Iowa","Forest and Conservation Workers","detailed",32990,-93.097702,41.8780025
"11385",11386,11386,"IA","Iowa","Logging Equipment Operators","detailed",38830,-93.097702,41.8780025
"11386",11387,11387,"IA","Iowa","Construction and Extraction Occupations","major",44240,-93.097702,41.8780025
"11387",11388,11388,"IA","Iowa","First-Line Supervisors of Construction Trades and Extraction Workers","detailed",59560,-93.097702,41.8780025
"11388",11389,11389,"IA","Iowa","Brickmasons and Blockmasons","detailed",45470,-93.097702,41.8780025
"11389",11390,11390,"IA","Iowa","Carpenters","detailed",42150,-93.097702,41.8780025
"11390",11391,11391,"IA","Iowa","Carpet Installers","detailed",46890,-93.097702,41.8780025
"11391",11392,11392,"IA","Iowa","Floor Layers, Except Carpet, Wood, and Hard Tiles","detailed",39970,-93.097702,41.8780025
"11392",11393,11393,"IA","Iowa","Tile and Marble Setters","detailed",37360,-93.097702,41.8780025
"11393",11394,11394,"IA","Iowa","Cement Masons and Concrete Finishers","detailed",38550,-93.097702,41.8780025
"11394",11395,11395,"IA","Iowa","Construction Laborers","detailed",35850,-93.097702,41.8780025
"11395",11396,11396,"IA","Iowa","Paving, Surfacing, and Tamping Equipment Operators","detailed",38030,-93.097702,41.8780025
"11396",11397,11397,"IA","Iowa","Operating Engineers and Other Construction Equipment Operators","detailed",47060,-93.097702,41.8780025
"11397",11398,11398,"IA","Iowa","Drywall and Ceiling Tile Installers","detailed",34640,-93.097702,41.8780025
"11398",11399,11399,"IA","Iowa","Tapers","detailed",48310,-93.097702,41.8780025
"11399",11400,11400,"IA","Iowa","Electricians","detailed",51960,-93.097702,41.8780025
"11400",11401,11401,"IA","Iowa","Glaziers","detailed",42680,-93.097702,41.8780025
"11401",11402,11402,"IA","Iowa","Insulation Workers, Floor, Ceiling, and Wall","detailed",40920,-93.097702,41.8780025
"11402",11403,11403,"IA","Iowa","Insulation Workers, Mechanical","detailed",45350,-93.097702,41.8780025
"11403",11404,11404,"IA","Iowa","Painters, Construction and Maintenance","detailed",37040,-93.097702,41.8780025
"11404",11405,11405,"IA","Iowa","Pipelayers","detailed",47760,-93.097702,41.8780025
"11405",11406,11406,"IA","Iowa","Plumbers, Pipefitters, and Steamfitters","detailed",48660,-93.097702,41.8780025
"11406",11407,11407,"IA","Iowa","Plasterers and Stucco Masons","detailed",43920,-93.097702,41.8780025
"11407",11408,11408,"IA","Iowa","Reinforcing Iron and Rebar Workers","detailed",38350,-93.097702,41.8780025
"11408",11409,11409,"IA","Iowa","Roofers","detailed",34680,-93.097702,41.8780025
"11409",11410,11410,"IA","Iowa","Sheet Metal Workers","detailed",46730,-93.097702,41.8780025
"11410",11411,11411,"IA","Iowa","Structural Iron and Steel Workers","detailed",53440,-93.097702,41.8780025
"11411",11412,11412,"IA","Iowa","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","detailed",32230,-93.097702,41.8780025
"11412",11413,11413,"IA","Iowa","Helpers--Carpenters","detailed",32950,-93.097702,41.8780025
"11413",11414,11414,"IA","Iowa","Helpers--Electricians","detailed",32170,-93.097702,41.8780025
"11414",11415,11415,"IA","Iowa","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","detailed",27590,-93.097702,41.8780025
"11415",11416,11416,"IA","Iowa","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","detailed",31080,-93.097702,41.8780025
"11416",11417,11417,"IA","Iowa","Helpers, Construction Trades, All Other","detailed",27270,-93.097702,41.8780025
"11417",11418,11418,"IA","Iowa","Construction and Building Inspectors","detailed",57500,-93.097702,41.8780025
"11418",11419,11419,"IA","Iowa","Elevator Installers and Repairers","detailed",85560,-93.097702,41.8780025
"11419",11420,11420,"IA","Iowa","Fence Erectors","detailed",36240,-93.097702,41.8780025
"11420",11421,11421,"IA","Iowa","Hazardous Materials Removal Workers","detailed",40350,-93.097702,41.8780025
"11421",11422,11422,"IA","Iowa","Highway Maintenance Workers","detailed",45710,-93.097702,41.8780025
"11422",11423,11423,"IA","Iowa","Rail-Track Laying and Maintenance Equipment Operators","detailed",50500,-93.097702,41.8780025
"11423",11424,11424,"IA","Iowa","Septic Tank Servicers and Sewer Pipe Cleaners","detailed",32640,-93.097702,41.8780025
"11424",11425,11425,"IA","Iowa","Construction and Related Workers, All Other","detailed",37020,-93.097702,41.8780025
"11425",11426,11426,"IA","Iowa","Earth Drillers, Except Oil and Gas","detailed",40270,-93.097702,41.8780025
"11426",11427,11427,"IA","Iowa","Explosives Workers, Ordnance Handling Experts, and Blasters","detailed",51340,-93.097702,41.8780025
"11427",11428,11428,"IA","Iowa","Rock Splitters, Quarry","detailed",38530,-93.097702,41.8780025
"11428",11429,11429,"IA","Iowa","Helpers--Extraction Workers","detailed",25980,-93.097702,41.8780025
"11429",11430,11430,"IA","Iowa","Extraction Workers, All Other","detailed",54460,-93.097702,41.8780025
"11430",11431,11431,"IA","Iowa","Installation, Maintenance, and Repair Occupations","major",44430,-93.097702,41.8780025
"11431",11432,11432,"IA","Iowa","First-Line Supervisors of Mechanics, Installers, and Repairers","detailed",61810,-93.097702,41.8780025
"11432",11433,11433,"IA","Iowa","Computer, Automated Teller, and Office Machine Repairers","detailed",38940,-93.097702,41.8780025
"11433",11434,11434,"IA","Iowa","Radio, Cellular, and Tower Equipment Installers and Repairers","detailed",48220,-93.097702,41.8780025
"11434",11435,11435,"IA","Iowa","Telecommunications Equipment Installers and Repairers, Except Line Installers","detailed",51310,-93.097702,41.8780025
"11435",11436,11436,"IA","Iowa","Electric Motor, Power Tool, and Related Repairers","detailed",41290,-93.097702,41.8780025
"11436",11437,11437,"IA","Iowa","Electrical and Electronics Installers and Repairers, Transportation Equipment","detailed",49350,-93.097702,41.8780025
"11437",11438,11438,"IA","Iowa","Electrical and Electronics Repairers, Commercial and Industrial Equipment","detailed",53040,-93.097702,41.8780025
"11438",11439,11439,"IA","Iowa","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","detailed",74750,-93.097702,41.8780025
"11439",11440,11440,"IA","Iowa","Electronic Home Entertainment Equipment Installers and Repairers","detailed",39990,-93.097702,41.8780025
"11440",11441,11441,"IA","Iowa","Security and Fire Alarm Systems Installers","detailed",44380,-93.097702,41.8780025
"11441",11442,11442,"IA","Iowa","Aircraft Mechanics and Service Technicians","detailed",52100,-93.097702,41.8780025
"11442",11443,11443,"IA","Iowa","Automotive Body and Related Repairers","detailed",39720,-93.097702,41.8780025
"11443",11444,11444,"IA","Iowa","Automotive Glass Installers and Repairers","detailed",31880,-93.097702,41.8780025
"11444",11445,11445,"IA","Iowa","Automotive Service Technicians and Mechanics","detailed",38650,-93.097702,41.8780025
"11445",11446,11446,"IA","Iowa","Bus and Truck Mechanics and Diesel Engine Specialists","detailed",41410,-93.097702,41.8780025
"11446",11447,11447,"IA","Iowa","Farm Equipment Mechanics and Service Technicians","detailed",39530,-93.097702,41.8780025
"11447",11448,11448,"IA","Iowa","Mobile Heavy Equipment Mechanics, Except Engines","detailed",47350,-93.097702,41.8780025
"11448",11449,11449,"IA","Iowa","Rail Car Repairers","detailed",48480,-93.097702,41.8780025
"11449",11450,11450,"IA","Iowa","Motorboat Mechanics and Service Technicians","detailed",30590,-93.097702,41.8780025
"11450",11451,11451,"IA","Iowa","Motorcycle Mechanics","detailed",33240,-93.097702,41.8780025
"11451",11452,11452,"IA","Iowa","Outdoor Power Equipment and Other Small Engine Mechanics","detailed",33500,-93.097702,41.8780025
"11452",11453,11453,"IA","Iowa","Bicycle Repairers","detailed",24480,-93.097702,41.8780025
"11453",11454,11454,"IA","Iowa","Recreational Vehicle Service Technicians","detailed",39620,-93.097702,41.8780025
"11454",11455,11455,"IA","Iowa","Tire Repairers and Changers","detailed",30420,-93.097702,41.8780025
"11455",11456,11456,"IA","Iowa","Mechanical Door Repairers","detailed",37490,-93.097702,41.8780025
"11456",11457,11457,"IA","Iowa","Control and Valve Installers and Repairers, Except Mechanical Door","detailed",55600,-93.097702,41.8780025
"11457",11458,11458,"IA","Iowa","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","detailed",50100,-93.097702,41.8780025
"11458",11459,11459,"IA","Iowa","Home Appliance Repairers","detailed",35200,-93.097702,41.8780025
"11459",11460,11460,"IA","Iowa","Industrial Machinery Mechanics","detailed",49480,-93.097702,41.8780025
"11460",11461,11461,"IA","Iowa","Maintenance Workers, Machinery","detailed",43950,-93.097702,41.8780025
"11461",11462,11462,"IA","Iowa","Millwrights","detailed",54770,-93.097702,41.8780025
"11462",11463,11463,"IA","Iowa","Refractory Materials Repairers, Except Brickmasons","detailed",48490,-93.097702,41.8780025
"11463",11464,11464,"IA","Iowa","Electrical Power-Line Installers and Repairers","detailed",61710,-93.097702,41.8780025
"11464",11465,11465,"IA","Iowa","Telecommunications Line Installers and Repairers","detailed",44330,-93.097702,41.8780025
"11465",11466,11466,"IA","Iowa","Camera and Photographic Equipment Repairers","detailed",54680,-93.097702,41.8780025
"11466",11467,11467,"IA","Iowa","Medical Equipment Repairers","detailed",43480,-93.097702,41.8780025
"11467",11468,11468,"IA","Iowa","Musical Instrument Repairers and Tuners","detailed",27950,-93.097702,41.8780025
"11468",11469,11469,"IA","Iowa","Watch Repairers","detailed",36050,-93.097702,41.8780025
"11469",11470,11470,"IA","Iowa","Precision Instrument and Equipment Repairers, All Other","detailed",47170,-93.097702,41.8780025
"11470",11471,11471,"IA","Iowa","Maintenance and Repair Workers, General","detailed",39130,-93.097702,41.8780025
"11471",11472,11472,"IA","Iowa","Wind Turbine Service Technicians","detailed",60380,-93.097702,41.8780025
"11472",11473,11473,"IA","Iowa","Coin, Vending, and Amusement Machine Servicers and Repairers","detailed",31680,-93.097702,41.8780025
"11473",11474,11474,"IA","Iowa","Locksmiths and Safe Repairers","detailed",40340,-93.097702,41.8780025
"11474",11475,11475,"IA","Iowa","Manufactured Building and Mobile Home Installers","detailed",31900,-93.097702,41.8780025
"11475",11476,11476,"IA","Iowa","Riggers","detailed",39290,-93.097702,41.8780025
"11476",11477,11477,"IA","Iowa","Signal and Track Switch Repairers","detailed",63060,-93.097702,41.8780025
"11477",11478,11478,"IA","Iowa","Helpers--Installation, Maintenance, and Repair Workers","detailed",28740,-93.097702,41.8780025
"11478",11479,11479,"IA","Iowa","Installation, Maintenance, and Repair Workers, All Other","detailed",38840,-93.097702,41.8780025
"11479",11480,11480,"IA","Iowa","Production Occupations","major",35490,-93.097702,41.8780025
"11480",11481,11481,"IA","Iowa","First-Line Supervisors of Production and Operating Workers","detailed",55740,-93.097702,41.8780025
"11481",11482,11482,"IA","Iowa","Electrical and Electronic Equipment Assemblers","detailed",38210,-93.097702,41.8780025
"11482",11483,11483,"IA","Iowa","Electromechanical Equipment Assemblers","detailed",29800,-93.097702,41.8780025
"11483",11484,11484,"IA","Iowa","Engine and Other Machine Assemblers","detailed",40640,-93.097702,41.8780025
"11484",11485,11485,"IA","Iowa","Structural Metal Fabricators and Fitters","detailed",33730,-93.097702,41.8780025
"11485",11486,11486,"IA","Iowa","Fiberglass Laminators and Fabricators","detailed",31350,-93.097702,41.8780025
"11486",11487,11487,"IA","Iowa","Team Assemblers","detailed",32020,-93.097702,41.8780025
"11487",11488,11488,"IA","Iowa","Assemblers and Fabricators, All Other","detailed",31480,-93.097702,41.8780025
"11488",11489,11489,"IA","Iowa","Bakers","detailed",27240,-93.097702,41.8780025
"11489",11490,11490,"IA","Iowa","Butchers and Meat Cutters","detailed",25330,-93.097702,41.8780025
"11490",11491,11491,"IA","Iowa","Meat, Poultry, and Fish Cutters and Trimmers","detailed",29430,-93.097702,41.8780025
"11491",11492,11492,"IA","Iowa","Slaughterers and Meat Packers","detailed",30840,-93.097702,41.8780025
"11492",11493,11493,"IA","Iowa","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","detailed",37070,-93.097702,41.8780025
"11493",11494,11494,"IA","Iowa","Food Batchmakers","detailed",39500,-93.097702,41.8780025
"11494",11495,11495,"IA","Iowa","Food Cooking Machine Operators and Tenders","detailed",30420,-93.097702,41.8780025
"11495",11496,11496,"IA","Iowa","Food Processing Workers, All Other","detailed",26050,-93.097702,41.8780025
"11496",11497,11497,"IA","Iowa","Computer-Controlled Machine Tool Operators, Metal and Plastic","detailed",37970,-93.097702,41.8780025
"11497",11498,11498,"IA","Iowa","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","detailed",44560,-93.097702,41.8780025
"11498",11499,11499,"IA","Iowa","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",41200,-93.097702,41.8780025
"11499",11500,11500,"IA","Iowa","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",35780,-93.097702,41.8780025
"11500",11501,11501,"IA","Iowa","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",41280,-93.097702,41.8780025
"11501",11502,11502,"IA","Iowa","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",33220,-93.097702,41.8780025
"11502",11503,11503,"IA","Iowa","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",39410,-93.097702,41.8780025
"11503",11504,11504,"IA","Iowa","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",33560,-93.097702,41.8780025
"11504",11505,11505,"IA","Iowa","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",39400,-93.097702,41.8780025
"11505",11506,11506,"IA","Iowa","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",34820,-93.097702,41.8780025
"11506",11507,11507,"IA","Iowa","Machinists","detailed",38640,-93.097702,41.8780025
"11507",11508,11508,"IA","Iowa","Metal-Refining Furnace Operators and Tenders","detailed",38740,-93.097702,41.8780025
"11508",11509,11509,"IA","Iowa","Pourers and Casters, Metal","detailed",37540,-93.097702,41.8780025
"11509",11510,11510,"IA","Iowa","Model Makers, Metal and Plastic","detailed",42620,-93.097702,41.8780025
"11510",11511,11511,"IA","Iowa","Patternmakers, Metal and Plastic","detailed",53870,-93.097702,41.8780025
"11511",11512,11512,"IA","Iowa","Foundry Mold and Coremakers","detailed",34790,-93.097702,41.8780025
"11512",11513,11513,"IA","Iowa","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",32700,-93.097702,41.8780025
"11513",11514,11514,"IA","Iowa","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","detailed",33920,-93.097702,41.8780025
"11514",11515,11515,"IA","Iowa","Tool and Die Makers","detailed",48560,-93.097702,41.8780025
"11515",11516,11516,"IA","Iowa","Welders, Cutters, Solderers, and Brazers","detailed",37190,-93.097702,41.8780025
"11516",11517,11517,"IA","Iowa","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","detailed",36640,-93.097702,41.8780025
"11517",11518,11518,"IA","Iowa","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","detailed",34470,-93.097702,41.8780025
"11518",11519,11519,"IA","Iowa","Layout Workers, Metal and Plastic","detailed",47830,-93.097702,41.8780025
"11519",11520,11520,"IA","Iowa","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","detailed",32730,-93.097702,41.8780025
"11520",11521,11521,"IA","Iowa","Tool Grinders, Filers, and Sharpeners","detailed",41490,-93.097702,41.8780025
"11521",11522,11522,"IA","Iowa","Metal Workers and Plastic Workers, All Other","detailed",36010,-93.097702,41.8780025
"11522",11523,11523,"IA","Iowa","Prepress Technicians and Workers","detailed",35160,-93.097702,41.8780025
"11523",11524,11524,"IA","Iowa","Printing Press Operators","detailed",34910,-93.097702,41.8780025
"11524",11525,11525,"IA","Iowa","Print Binding and Finishing Workers","detailed",34820,-93.097702,41.8780025
"11525",11526,11526,"IA","Iowa","Laundry and Dry-Cleaning Workers","detailed",22630,-93.097702,41.8780025
"11526",11527,11527,"IA","Iowa","Pressers, Textile, Garment, and Related Materials","detailed",23290,-93.097702,41.8780025
"11527",11528,11528,"IA","Iowa","Sewing Machine Operators","detailed",28530,-93.097702,41.8780025
"11528",11529,11529,"IA","Iowa","Tailors, Dressmakers, and Custom Sewers","detailed",28560,-93.097702,41.8780025
